generation,gain_enemy_2,gain_enemy_6,gain_enemy_7,gain_enemy_8,kill_enemy_2,kill_enemy_6,kill_enemy_7,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
1,74.0,-92.5,-30.0,-90.0,1.0,0.0,0.0,0.0,0.257155643768001,0.023767082845908078,0.22304369206680735,0.03215868926760967
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.011687653186469853,0.2227451005087545,0.21652762854560592,0.21043210435295748
1,-75.0,-77.5,-36.449999999999946,-82.5,0.0,0.0,0.25,0.0,0.3,0.2556118273281851,0.25413919044672056,0.048919819587352635
1,15.5,-65.0,-47.5,-82.5,0.75,0.0,0.0,0.0,0.2953902900738516,0.14089537424842516,0.22511328068626074,0.15275397454046663
1,-82.5,-100.0,-85.0,-100.0,0.0,0.0,0.0,0.0,0.032275065140318616,0.04593089573523562,0.15336382053484895,0.3
1,-47.5,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.16682687405942376,0.0076702447395141215,0.3,0.1689109446282875
1,-62.5,-92.5,-97.5,-80.0,0.0,0.0,0.0,0.0,0.0031283880859998064,0.038096153587442456,0.20582365793604576,0.1474532953871388
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.10185199533126105,0.24589903071823493,0.058044182653067114,0.18926219755340556
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.16686601166534945,0.10868923251915881,0.23597430737458175,0.06510102922003319
1,-100.0,-100.0,-100.0,-41.699999999999676,0.0,0.0,0.0,0.0,0.1950261123886604,0.21545948307329613,0.09067734292091237,0.07889298070304025
1,25.0,-80.0,-40.0,-80.0,0.75,0.0,0.0,0.0,0.049748207884545995,0.0817439439459647,0.028335769782840296,0.14697034712624046
1,-85.0,-82.5,-97.5,-85.0,0.0,0.0,0.0,0.0,0.3,0.16073666641478,0.2523695967570304,0.3
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.3,0.2712955193358392,0.3,0.009416662224129426
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.04544358658637391,0.1580803580863791,0.17408147609720814,0.001
1,-90.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.049484144142373246,0.052702878999528135,0.14284165096079282,0.27508666079623856
1,-90.0,-100.0,-87.5,-100.0,0.0,0.0,0.0,0.0,0.00973663914722266,0.11910889147208448,0.2557563738883692,0.18250466557276804
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.05351882169087501,0.3,0.18862016732599662,0.13813038779194386
1,-47.5,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.1199878458961362,0.0016478208817848952,0.13034568448616626,0.05418197570007589
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.224573137055115,0.14951416602558917,0.21873604192969537,0.0661943060341032
1,-80.0,-62.5,-72.5,-100.0,0.0,0.0,0.0,0.0,0.25497458133235296,0.2580585503850881,0.10040640652481778,0.06738216172596963
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.047108332158485866,0.08783382115587049,0.20382788292301404,0.01513715001125627
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.022127271993267333,0.058091506219026624,0.26372868642694686,0.2350865635204735
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.21738348985367167,0.11120117790732174,0.2915467244709707,0.01719497901366831
1,-80.0,-95.0,-97.5,-85.0,0.0,0.0,0.0,0.0,0.09307130761597891,0.08733959820646786,0.13913697770431638,0.013508694367033546
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.3,0.22094194380320364,0.2250461374003915,0.15399133081802954
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.03869383421916304,0.1534728876349957,0.04087585913537316,0.012506265718439536
1,-55.0,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.11892463299391998,0.2600833706014295,0.07844449191278537,0.001
1,-100.0,-100.0,-100.0,-95.0,0.0,0.0,0.0,0.0,0.037257871878861815,0.02106608817913407,0.20202220949430064,0.11941913742811837
1,6.0,-95.0,-42.5,25.75000000000025,0.5,0.0,0.0,1.0,0.22920010451320624,0.21424423149380495,0.10596134037211036,0.29718271388803524
1,-100.0,-95.0,-97.5,-100.0,0.0,0.0,0.0,0.0,0.1770989703271486,0.29391585851413654,0.23491576674996845,0.08300986712239874
1,-65.0,-95.0,-97.5,-80.0,0.0,0.0,0.0,0.0,0.12710744486309103,0.16309907658725586,0.20457392884412007,0.19030298568053258
1,-60.0,-87.5,-95.0,-77.5,0.0,0.0,0.0,0.0,0.28582254738370283,0.3,0.19587994672789405,0.026747086866500236
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.14056183888562238,0.2978935325842828,0.05722190076026517,0.14764190075302844
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.16801438731299329,0.04070209292399603,0.003173405903084617,0.23660471598976332
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.3,0.13165506594640408,0.18070139982873765,0.0779586581444931
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.19842737365084756,0.09962614187052501,0.13799946982404715,0.23109771437170673
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0059441175723011904,0.003177418596920915,0.2505821875139551,0.19225835297897034
1,-62.5,-95.0,-97.5,-67.5,0.0,0.0,0.0,0.0,0.28279853183926285,0.011906351908169095,0.14097807890832698,0.11426587158355832
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.17357886361866592,0.17360782547053222,0.020503985193585556,0.15982563980784092
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.08840589403142457,0.18355839599350604,0.1257965017338207,0.1646309292035854
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.3,0.2207464527446669,0.06158953869114202,0.09574588420403461
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.17825472627705752,0.14861535103678253,0.21835298827384153,0.2785943983212761
1,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.3,0.2553878093460715,0.05310369246623405,0.06459154889847829
